Question,implicit_zero_shot,explicit_zero_shot,auto_cot
"Which of the following is mostly known for his film ""I Stand Alone"": Ricardo Costa or Gaspar Noé?","Which of the following is mostly known for his film ""I Stand Alone"": Ricardo Costa or Gaspar Noé?","Which of the following is mostly known for his film ""I Stand Alone"": Ricardo Costa or Gaspar Noé?
Let's think step by step.",
types of encoding in computer networks,types of encoding in computer networks,"types of encoding in computer networks
Let's think step by step.",
"Who was Carrier Fisher's spouse prior to their divorce on Jan 1st, 1983","Who was Carrier Fisher's spouse prior to their divorce on Jan 1st, 1983","Who was Carrier Fisher's spouse prior to their divorce on Jan 1st, 1983
Let's think step by step.",
what does opium do,what does opium do,"what does opium do
Let's think step by step.",
post stamp cost went up,post stamp cost went up,"post stamp cost went up
Let's think step by step.",
Charlotte Perkins Gilman wrote a autobiography with how many words?,Charlotte Perkins Gilman wrote a autobiography with how many words?,"Charlotte Perkins Gilman wrote a autobiography with how many words?
Let's think step by step.",
is the name iman for a boy or girl,is the name iman for a boy or girl,"is the name iman for a boy or girl
Let's think step by step.",
what foods contain lupin,what foods contain lupin,"what foods contain lupin
Let's think step by step.",
should drinking age be lowering positives,should drinking age be lowering positives,"should drinking age be lowering positives
Let's think step by step.",
average rainfall in pune,average rainfall in pune,"average rainfall in pune
Let's think step by step.",
what is skin disease called vitiligo,what is skin disease called vitiligo,"what is skin disease called vitiligo
Let's think step by step.",
What was the 1971 television film directed by Steven Spielburg in which the winner of an Emmy Award for Best Supporting Actor (Continuing Character) in a Dramatic Series appeared? ,What was the 1971 television film directed by Steven Spielburg in which the winner of an Emmy Award for Best Supporting Actor (Continuing Character) in a Dramatic Series appeared? ,"What was the 1971 television film directed by Steven Spielburg in which the winner of an Emmy Award for Best Supporting Actor (Continuing Character) in a Dramatic Series appeared? 
Let's think step by step.",
When was the physicist who hosted Wonders of the Solar System born? ,When was the physicist who hosted Wonders of the Solar System born? ,"When was the physicist who hosted Wonders of the Solar System born? 
Let's think step by step.",
where is pectineus muscle,where is pectineus muscle,"where is pectineus muscle
Let's think step by step.",
What is the specific gravity of lemonade?,What is the specific gravity of lemonade?,"What is the specific gravity of lemonade?
Let's think step by step.",
What is the name of the county seat of Herat that was disestablished in 1-1-1507?,What is the name of the county seat of Herat that was disestablished in 1-1-1507?,"What is the name of the county seat of Herat that was disestablished in 1-1-1507?
Let's think step by step.",
"The current host of ""Heresy"" writes weekly columns for what paper?","The current host of ""Heresy"" writes weekly columns for what paper?","The current host of ""Heresy"" writes weekly columns for what paper?
Let's think step by step.",
"Is Janet Jackson, the performer, single?","Is Janet Jackson, the performer, single?","Is Janet Jackson, the performer, single?
Let's think step by step.",
Cathode rays were first named by which German physicist?,Cathode rays were first named by which German physicist?,"Cathode rays were first named by which German physicist?
Let's think step by step.",
The Oster Conspiracy hoped to reinstate the grandson of which British Monarch as Emperor? ,The Oster Conspiracy hoped to reinstate the grandson of which British Monarch as Emperor? ,"The Oster Conspiracy hoped to reinstate the grandson of which British Monarch as Emperor? 
Let's think step by step.",
what are different types of starches,what are different types of starches,"what are different types of starches
Let's think step by step.",
"Which baseball franchise has featured in the MLB in Milwaukee, then St. Louis, before moving to its current location, and counts the trailblazing Dominican Ozzie Virgil Sr. among its former players?","Which baseball franchise has featured in the MLB in Milwaukee, then St. Louis, before moving to its current location, and counts the trailblazing Dominican Ozzie Virgil Sr. among its former players?","Which baseball franchise has featured in the MLB in Milwaukee, then St. Louis, before moving to its current location, and counts the trailblazing Dominican Ozzie Virgil Sr. among its former players?
Let's think step by step.",
what do fossils in the same rock layer show,what do fossils in the same rock layer show,"what do fossils in the same rock layer show
Let's think step by step.",
what is urogynecology surgery,what is urogynecology surgery,"what is urogynecology surgery
Let's think step by step.",
what is a calligram poem example,what is a calligram poem example,"what is a calligram poem example
Let's think step by step.",
how to become anesthesiologist assistant,how to become anesthesiologist assistant,"how to become anesthesiologist assistant
Let's think step by step.",
What was the primary position that Giovanni Drenthe's older brother player?,What was the primary position that Giovanni Drenthe's older brother player?,"What was the primary position that Giovanni Drenthe's older brother player?
Let's think step by step.",
Which fork of the Nile has its orgins in Lake Tana?,Which fork of the Nile has its orgins in Lake Tana?,"Which fork of the Nile has its orgins in Lake Tana?
Let's think step by step.",
what is the average pay of a dental assistant in arkansas,what is the average pay of a dental assistant in arkansas,"what is the average pay of a dental assistant in arkansas
Let's think step by step.",
what year was the first microscope invented,what year was the first microscope invented,"what year was the first microscope invented
Let's think step by step.",
is aortic atherosclerosis peripheral vascular disease,is aortic atherosclerosis peripheral vascular disease,"is aortic atherosclerosis peripheral vascular disease
Let's think step by step.",
what is the physical relationship of the intercostal muscles,what is the physical relationship of the intercostal muscles,"what is the physical relationship of the intercostal muscles
Let's think step by step.",
"Lino Schmidek Machado Facioli played Naples in which 2010 American black comedy film written, produced and directed by Nicholas Stoller and starring Russell Brand and Jonah Hill?","Lino Schmidek Machado Facioli played Naples in which 2010 American black comedy film written, produced and directed by Nicholas Stoller and starring Russell Brand and Jonah Hill?","Lino Schmidek Machado Facioli played Naples in which 2010 American black comedy film written, produced and directed by Nicholas Stoller and starring Russell Brand and Jonah Hill?
Let's think step by step.",
"Scott Eastwood (born Scott Clinton Reeves; March 21, 1986) is an American actor, model, and professional skydiver, he has appeared in which 2008 film American drama film directed and produced by Clint Eastwood, who also starred in the film, and co-stars Christopher Carley, Bee Vang and Ahney Her?","Scott Eastwood (born Scott Clinton Reeves; March 21, 1986) is an American actor, model, and professional skydiver, he has appeared in which 2008 film American drama film directed and produced by Clint Eastwood, who also starred in the film, and co-stars Christopher Carley, Bee Vang and Ahney Her?","Scott Eastwood (born Scott Clinton Reeves; March 21, 1986) is an American actor, model, and professional skydiver, he has appeared in which 2008 film American drama film directed and produced by Clint Eastwood, who also starred in the film, and co-stars Christopher Carley, Bee Vang and Ahney Her?
Let's think step by step.",
"Who wrote the supernatural investigation novel which derives its title from a line in the ""nunnery scene"" soliloquy of the play ""Hamlet""?","Who wrote the supernatural investigation novel which derives its title from a line in the ""nunnery scene"" soliloquy of the play ""Hamlet""?","Who wrote the supernatural investigation novel which derives its title from a line in the ""nunnery scene"" soliloquy of the play ""Hamlet""?
Let's think step by step.",
Are Chesapeake and Ohio Canal and Lake Worth Lagoon both located in Florida?,Are Chesapeake and Ohio Canal and Lake Worth Lagoon both located in Florida?,"Are Chesapeake and Ohio Canal and Lake Worth Lagoon both located in Florida?
Let's think step by step.",
what is the meaning of livia,what is the meaning of livia,"what is the meaning of livia
Let's think step by step.",
"Derek St. Holmes and Max Bemis, are guitar players?","Derek St. Holmes and Max Bemis, are guitar players?","Derek St. Holmes and Max Bemis, are guitar players?
Let's think step by step.",
"Which genus contains more species, Anchusa or Parkinsonia?","Which genus contains more species, Anchusa or Parkinsonia?","Which genus contains more species, Anchusa or Parkinsonia?
Let's think step by step.",
types of antimicrobial peptides,types of antimicrobial peptides,"types of antimicrobial peptides
Let's think step by step.",
Dylan Guthro is based in the municipality that had a population of what in 2016?,Dylan Guthro is based in the municipality that had a population of what in 2016?,"Dylan Guthro is based in the municipality that had a population of what in 2016?
Let's think step by step.",
When was the American singer and musician born who was also the client of Vern Yocum?,When was the American singer and musician born who was also the client of Vern Yocum?,"When was the American singer and musician born who was also the client of Vern Yocum?
Let's think step by step.",
why is kaliningrad where it is,why is kaliningrad where it is,"why is kaliningrad where it is
Let's think step by step.",
definition of rebozo,definition of rebozo,"definition of rebozo
Let's think step by step.",
The current occupant of the Candy Desk is a senator born in which year ?,The current occupant of the Candy Desk is a senator born in which year ?,"The current occupant of the Candy Desk is a senator born in which year ?
Let's think step by step.",
Who directed the film in which Matthew Marsh played Alexander Haig?,Who directed the film in which Matthew Marsh played Alexander Haig?,"Who directed the film in which Matthew Marsh played Alexander Haig?
Let's think step by step.",
how can medication help someone with rheumatoid arthritis,how can medication help someone with rheumatoid arthritis,"how can medication help someone with rheumatoid arthritis
Let's think step by step.",
which idea was included in the provision of the treaty of versailles to show the intent,which idea was included in the provision of the treaty of versailles to show the intent,"which idea was included in the provision of the treaty of versailles to show the intent
Let's think step by step.",
outdoor antenna installation cost,outdoor antenna installation cost,"outdoor antenna installation cost
Let's think step by step.",
Muffie Cabot was the social secretary to an American film actress who was the wife of which president of the United States?,Muffie Cabot was the social secretary to an American film actress who was the wife of which president of the United States?,"Muffie Cabot was the social secretary to an American film actress who was the wife of which president of the United States?
Let's think step by step.",
Bong Joon-ho's latest directorial credit is which 2017 action-adventure film?,Bong Joon-ho's latest directorial credit is which 2017 action-adventure film?,"Bong Joon-ho's latest directorial credit is which 2017 action-adventure film?
Let's think step by step.",
Snoop Dogg is part of which music subgenre that encompasses any artists or music that originate in the West Coast of the United States?,Snoop Dogg is part of which music subgenre that encompasses any artists or music that originate in the West Coast of the United States?,"Snoop Dogg is part of which music subgenre that encompasses any artists or music that originate in the West Coast of the United States?
Let's think step by step.",
what does suppressor mean,what does suppressor mean,"what does suppressor mean
Let's think step by step.",
dupuytren's disease pronunciation,dupuytren's disease pronunciation,"dupuytren's disease pronunciation
Let's think step by step.",
"Why did the actor who played Leo on ""That 70's Show"" stop touring with ""The Marijuana-logues?""","Why did the actor who played Leo on ""That 70's Show"" stop touring with ""The Marijuana-logues?""","Why did the actor who played Leo on ""That 70's Show"" stop touring with ""The Marijuana-logues?""
Let's think step by step.",
"Alan Rait (9 November 1908 – 24 March 1965) was an Australian rules footballer who played for Footscray in the Victorian Football League (VFL), and also played with which Australian rules football club which last played in the Tasmanian State League, nicknamed ""The Demons""?","Alan Rait (9 November 1908 – 24 March 1965) was an Australian rules footballer who played for Footscray in the Victorian Football League (VFL), and also played with which Australian rules football club which last played in the Tasmanian State League, nicknamed ""The Demons""?","Alan Rait (9 November 1908 – 24 March 1965) was an Australian rules footballer who played for Footscray in the Victorian Football League (VFL), and also played with which Australian rules football club which last played in the Tasmanian State League, nicknamed ""The Demons""?
Let's think step by step.",
how many hours from delta,how many hours from delta,"how many hours from delta
Let's think step by step.",
"Pherenikos is celebrated in epinikions, what are they?","Pherenikos is celebrated in epinikions, what are they?","Pherenikos is celebrated in epinikions, what are they?
Let's think step by step.",
how long to get rn after lpn,how long to get rn after lpn,"how long to get rn after lpn
Let's think step by step.",
what is a deer tick,what is a deer tick,"what is a deer tick
Let's think step by step.",
how much does it cost to buy equipment for a gym,how much does it cost to buy equipment for a gym,"how much does it cost to buy equipment for a gym
Let's think step by step.",
what is the constitution act,what is the constitution act,"what is the constitution act
Let's think step by step.",
"The Order of Saint Michael the Archangel and Maria Vladimirovna, Grand Duchess of Russia have both been involved with which house?","The Order of Saint Michael the Archangel and Maria Vladimirovna, Grand Duchess of Russia have both been involved with which house?","The Order of Saint Michael the Archangel and Maria Vladimirovna, Grand Duchess of Russia have both been involved with which house?
Let's think step by step.",
what is the origin of the phrase hat trick,what is the origin of the phrase hat trick,"what is the origin of the phrase hat trick
Let's think step by step.",
What country of origin does Joey Stivic and Jean Stapleton have in common?,What country of origin does Joey Stivic and Jean Stapleton have in common?,"What country of origin does Joey Stivic and Jean Stapleton have in common?
Let's think step by step.",
what cheese is stilton like,what cheese is stilton like,"what cheese is stilton like
Let's think step by step.",
"What is named after its developers, the Beetham Organisation, and is housed with what is ""the UK's first proper skyscraper outside London""?","What is named after its developers, the Beetham Organisation, and is housed with what is ""the UK's first proper skyscraper outside London""?","What is named after its developers, the Beetham Organisation, and is housed with what is ""the UK's first proper skyscraper outside London""?
Let's think step by step.",
"English actor Ben Batt appeared in ""Scott & Bailey"" as DC Kevin Lumb, the show features what fictional police team?","English actor Ben Batt appeared in ""Scott & Bailey"" as DC Kevin Lumb, the show features what fictional police team?","English actor Ben Batt appeared in ""Scott & Bailey"" as DC Kevin Lumb, the show features what fictional police team?
Let's think step by step.",
cost per square foot to build a house in tennessee,cost per square foot to build a house in tennessee,"cost per square foot to build a house in tennessee
Let's think step by step.",
"Chitwan National Park and Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining are located in Europe?","Chitwan National Park and Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining are located in Europe?","Chitwan National Park and Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining are located in Europe?
Let's think step by step.",
Which casino in Louisiana is a new Vic & Anthony's supposed to open in?,Which casino in Louisiana is a new Vic & Anthony's supposed to open in?,"Which casino in Louisiana is a new Vic & Anthony's supposed to open in?
Let's think step by step.",
"What was another name for Chinese statesman, Chiang Kai-shek, in which the Battle of Shangcai was fought between the National Revolutionary Army and a coalition who opposed him?","What was another name for Chinese statesman, Chiang Kai-shek, in which the Battle of Shangcai was fought between the National Revolutionary Army and a coalition who opposed him?","What was another name for Chinese statesman, Chiang Kai-shek, in which the Battle of Shangcai was fought between the National Revolutionary Army and a coalition who opposed him?
Let's think step by step.",
"Was the boxing match between Carl Froch vs. George Groves, billed as the ""Battle of Britain"", held indoors or outdoors?","Was the boxing match between Carl Froch vs. George Groves, billed as the ""Battle of Britain"", held indoors or outdoors?","Was the boxing match between Carl Froch vs. George Groves, billed as the ""Battle of Britain"", held indoors or outdoors?
Let's think step by step.",
average cost for lawn cutting in media pa,average cost for lawn cutting in media pa,"average cost for lawn cutting in media pa
Let's think step by step.",
what is trustpilot,what is trustpilot,"what is trustpilot
Let's think step by step.",
How do you say the month of March in Anglo-Saxon?,How do you say the month of March in Anglo-Saxon?,"How do you say the month of March in Anglo-Saxon?
Let's think step by step.",
"Victoria Azarenka and Caroline Wozniacki, were the defending champions, but they chose to compete in 2010 Dubai Tennis Championships instead, Vania King and Michaëlla Krajicek won in the final against Meghann Shaughnessy, and which U.S. professional tennis player who is presently ranked No. 2, in the women's doubles rankings?","Victoria Azarenka and Caroline Wozniacki, were the defending champions, but they chose to compete in 2010 Dubai Tennis Championships instead, Vania King and Michaëlla Krajicek won in the final against Meghann Shaughnessy, and which U.S. professional tennis player who is presently ranked No. 2, in the women's doubles rankings?","Victoria Azarenka and Caroline Wozniacki, were the defending champions, but they chose to compete in 2010 Dubai Tennis Championships instead, Vania King and Michaëlla Krajicek won in the final against Meghann Shaughnessy, and which U.S. professional tennis player who is presently ranked No. 2, in the women's doubles rankings?
Let's think step by step.",
"The pop singer in the lead role in ""Tere Bin Laden"" received how many Lux Style Awards?","The pop singer in the lead role in ""Tere Bin Laden"" received how many Lux Style Awards?","The pop singer in the lead role in ""Tere Bin Laden"" received how many Lux Style Awards?
Let's think step by step.",
is castle hill bronx dangerous,is castle hill bronx dangerous,"is castle hill bronx dangerous
Let's think step by step.",
What was the nickname of the player that won the 2015 Dafabet Masters snooker tournament?,What was the nickname of the player that won the 2015 Dafabet Masters snooker tournament?,"What was the nickname of the player that won the 2015 Dafabet Masters snooker tournament?
Let's think step by step.",
how much fluid should a person drink daily,how much fluid should a person drink daily,"how much fluid should a person drink daily
Let's think step by step.",
John Kassir and Tom Kenny both voice this one character?,John Kassir and Tom Kenny both voice this one character?,"John Kassir and Tom Kenny both voice this one character?
Let's think step by step.",
What is the language regulatory body and country of Urdu?,What is the language regulatory body and country of Urdu?,"What is the language regulatory body and country of Urdu?
Let's think step by step.",
The Jumbles Reservoir is now owned by a water company founded in what year?,The Jumbles Reservoir is now owned by a water company founded in what year?,"The Jumbles Reservoir is now owned by a water company founded in what year?
Let's think step by step.",
how can you increase the kinetic energy of an object,how can you increase the kinetic energy of an object,"how can you increase the kinetic energy of an object
Let's think step by step.",
"What is the middle name of the artist who recorded the album ""Walk The Way The Wind Blows?""","What is the middle name of the artist who recorded the album ""Walk The Way The Wind Blows?""","What is the middle name of the artist who recorded the album ""Walk The Way The Wind Blows?""
Let's think step by step.",
what is the average salary of a home inspector in dallas texas,what is the average salary of a home inspector in dallas texas,"what is the average salary of a home inspector in dallas texas
Let's think step by step.",
what does diaphragmatic breathing do pelvic floor,what does diaphragmatic breathing do pelvic floor,"what does diaphragmatic breathing do pelvic floor
Let's think step by step.",
what is waterfall style furniture,what is waterfall style furniture,"what is waterfall style furniture
Let's think step by step.",
"What came out first, ""Touching the Void"" or ""All Aboard! Rosie's Family Cruise""?","What came out first, ""Touching the Void"" or ""All Aboard! Rosie's Family Cruise""?","What came out first, ""Touching the Void"" or ""All Aboard! Rosie's Family Cruise""?
Let's think step by step.",
what is enzyme role in protein synthesis,what is enzyme role in protein synthesis,"what is enzyme role in protein synthesis
Let's think step by step.",
The Rutan Voyager was piloted by the pilot and aviator from what branch of the armed forces?,The Rutan Voyager was piloted by the pilot and aviator from what branch of the armed forces?,"The Rutan Voyager was piloted by the pilot and aviator from what branch of the armed forces?
Let's think step by step.",
Are Georges Bataille and David Lodge from the same country?,Are Georges Bataille and David Lodge from the same country?,"Are Georges Bataille and David Lodge from the same country?
Let's think step by step.",
how long does it take to heal a pulled back muscle,how long does it take to heal a pulled back muscle,"how long does it take to heal a pulled back muscle
Let's think step by step.",
"Which song was the lead single For the Black Eyed Peas 5th studio Album that sampled ""take a dive""?","Which song was the lead single For the Black Eyed Peas 5th studio Album that sampled ""take a dive""?","Which song was the lead single For the Black Eyed Peas 5th studio Album that sampled ""take a dive""?
Let's think step by step.",
"The serial drama Bikhra Mera Naseeb, written by Saima Youmkus, made it's debut on what Pakastani television channel, which is owned by Geo Television Network?","The serial drama Bikhra Mera Naseeb, written by Saima Youmkus, made it's debut on what Pakastani television channel, which is owned by Geo Television Network?","The serial drama Bikhra Mera Naseeb, written by Saima Youmkus, made it's debut on what Pakastani television channel, which is owned by Geo Television Network?
Let's think step by step.",
Are Morten Harket and Ian Curtis members of bands which have the same musical style?,Are Morten Harket and Ian Curtis members of bands which have the same musical style?,"Are Morten Harket and Ian Curtis members of bands which have the same musical style?
Let's think step by step.",
herd manager salary,herd manager salary,"herd manager salary
Let's think step by step.",
how to raise humidity in incubator,how to raise humidity in incubator,"how to raise humidity in incubator
Let's think step by step.",
Which actor was born Steven James Anderson in 1964 and starred in the American action film the Package?,Which actor was born Steven James Anderson in 1964 and starred in the American action film the Package?,"Which actor was born Steven James Anderson in 1964 and starred in the American action film the Package?
Let's think step by step.",
What philosophy is the food writer who rated The Riverside Restaurant as one of his top five seafood restaurants know for?,What philosophy is the food writer who rated The Riverside Restaurant as one of his top five seafood restaurants know for?,"What philosophy is the food writer who rated The Riverside Restaurant as one of his top five seafood restaurants know for?
Let's think step by step.",
During what war was Nina Ulyanenko an air ace?,During what war was Nina Ulyanenko an air ace?,"During what war was Nina Ulyanenko an air ace?
Let's think step by step.",
Tell me conflict whose name has the word wars in it.,Tell me conflict whose name has the word wars in it.,"Tell me conflict whose name has the word wars in it.
Let's think step by step.",
On what planet did the Supreme Intelligence originate?,On what planet did the Supreme Intelligence originate?,"On what planet did the Supreme Intelligence originate?
Let's think step by step.",
"Which musical act was active first, APB or Hozier?","Which musical act was active first, APB or Hozier?","Which musical act was active first, APB or Hozier?
Let's think step by step.",
what type of solid is si,what type of solid is si,"what type of solid is si
Let's think step by step.",
During which period did mammals first appear?,During which period did mammals first appear?,"During which period did mammals first appear?
Let's think step by step.",
what are triglycerides made of,what are triglycerides made of,"what are triglycerides made of
Let's think step by step.",
When was the Colombian drug lord which was one of the Medellín Cartel with Jorge Luis Ochoa Vásquez born? ,When was the Colombian drug lord which was one of the Medellín Cartel with Jorge Luis Ochoa Vásquez born? ,"When was the Colombian drug lord which was one of the Medellín Cartel with Jorge Luis Ochoa Vásquez born? 
Let's think step by step.",
Lynn McGruder attended college in what town?,Lynn McGruder attended college in what town?,"Lynn McGruder attended college in what town?
Let's think step by step.",
"Rolex SA, is a Swiss luxury watchmaker, and was co founded, in which year, by Hans Wilsdorf, a German watchmaker, and the founder of noted watch brands Rolex and Tudor?","Rolex SA, is a Swiss luxury watchmaker, and was co founded, in which year, by Hans Wilsdorf, a German watchmaker, and the founder of noted watch brands Rolex and Tudor?","Rolex SA, is a Swiss luxury watchmaker, and was co founded, in which year, by Hans Wilsdorf, a German watchmaker, and the founder of noted watch brands Rolex and Tudor?
Let's think step by step.",
"Taktisches Luftwaffengeschwader 33, formerly known as Jagdbombergeschwader 33, the wing is based at which air base, a fighter-bomber wing of the German Air Force (""Luftwaffe""), the wing flies the Panavia Tornado IDS?","Taktisches Luftwaffengeschwader 33, formerly known as Jagdbombergeschwader 33, the wing is based at which air base, a fighter-bomber wing of the German Air Force (""Luftwaffe""), the wing flies the Panavia Tornado IDS?","Taktisches Luftwaffengeschwader 33, formerly known as Jagdbombergeschwader 33, the wing is based at which air base, a fighter-bomber wing of the German Air Force (""Luftwaffe""), the wing flies the Panavia Tornado IDS?
Let's think step by step.",
what does an electrician do,what does an electrician do,"what does an electrician do
Let's think step by step.",
can tile make a sound,can tile make a sound,"can tile make a sound
Let's think step by step.",
differences between a gene and dna,differences between a gene and dna,"differences between a gene and dna
Let's think step by step.",
"Between Gravel v. United States and Hamdan v. Rumsfeld, which case involved military commissions set up by the Bush administration?","Between Gravel v. United States and Hamdan v. Rumsfeld, which case involved military commissions set up by the Bush administration?","Between Gravel v. United States and Hamdan v. Rumsfeld, which case involved military commissions set up by the Bush administration?
Let's think step by step.",
"Ignite Your Faith and Reunions magazine, are which type of media?","Ignite Your Faith and Reunions magazine, are which type of media?","Ignite Your Faith and Reunions magazine, are which type of media?
Let's think step by step.",
Beyond Our Ken and High Paddock were connected though what?,Beyond Our Ken and High Paddock were connected though what?,"Beyond Our Ken and High Paddock were connected though what?
Let's think step by step.",
who came in 4th place at the world series poker the year that the world champion had qualified from an online poker site ?,who came in 4th place at the world series poker the year that the world champion had qualified from an online poker site ?,"who came in 4th place at the world series poker the year that the world champion had qualified from an online poker site ?
Let's think step by step.",
"Which of these is in the African violet family, Maclura or Petrocosmea?","Which of these is in the African violet family, Maclura or Petrocosmea?","Which of these is in the African violet family, Maclura or Petrocosmea?
Let's think step by step.",
major limitation of dna polymerase,major limitation of dna polymerase,"major limitation of dna polymerase
Let's think step by step.",
In what industry are both Sarah Price and Gordon Wiles known?,In what industry are both Sarah Price and Gordon Wiles known?,"In what industry are both Sarah Price and Gordon Wiles known?
Let's think step by step.",
how does an ocean wave become a breaker at the shoreline,how does an ocean wave become a breaker at the shoreline,"how does an ocean wave become a breaker at the shoreline
Let's think step by step.",
how much sleep should my infant have?,how much sleep should my infant have?,"how much sleep should my infant have?
Let's think step by step.",
ANCAP is a state-owned company involved in the production of a basic ingredient of concrete which was patented in what year?,ANCAP is a state-owned company involved in the production of a basic ingredient of concrete which was patented in what year?,"ANCAP is a state-owned company involved in the production of a basic ingredient of concrete which was patented in what year?
Let's think step by step.",
signs your anemia is getting worse,signs your anemia is getting worse,"signs your anemia is getting worse
Let's think step by step.",
how to light backlit keyboard on dell,how to light backlit keyboard on dell,"how to light backlit keyboard on dell
Let's think step by step.",
sgot levels normal range,sgot levels normal range,"sgot levels normal range
Let's think step by step.",
cost of solar pool heater,cost of solar pool heater,"cost of solar pool heater
Let's think step by step.",
what is the origin of acupuncture,what is the origin of acupuncture,"what is the origin of acupuncture
Let's think step by step.",
Was Brentwood Cathedral or Bradford Cathedral known as the parish church of St Peter for most of it's history?,Was Brentwood Cathedral or Bradford Cathedral known as the parish church of St Peter for most of it's history?,"Was Brentwood Cathedral or Bradford Cathedral known as the parish church of St Peter for most of it's history?
Let's think step by step.",
"Andrew George McCabe is an American attorney, who is the Deputy Director of the Federal Bureau of Investigation, McCabe became Acting Director of the FBI after James Comey was dismissed, James Brien Comey Jr. (born December 14, 1960) is an American lawyer who served as the seventh Director of the FBI from September 4, 2013, until which date?","Andrew George McCabe is an American attorney, who is the Deputy Director of the Federal Bureau of Investigation, McCabe became Acting Director of the FBI after James Comey was dismissed, James Brien Comey Jr. (born December 14, 1960) is an American lawyer who served as the seventh Director of the FBI from September 4, 2013, until which date?","Andrew George McCabe is an American attorney, who is the Deputy Director of the Federal Bureau of Investigation, McCabe became Acting Director of the FBI after James Comey was dismissed, James Brien Comey Jr. (born December 14, 1960) is an American lawyer who served as the seventh Director of the FBI from September 4, 2013, until which date?
Let's think step by step.",
"what stores a substance called bile, which physically breaks down fat droplets","what stores a substance called bile, which physically breaks down fat droplets","what stores a substance called bile, which physically breaks down fat droplets
Let's think step by step.",
"Which caused more damage and casualties, Hurricane Andrew or Tropical Storm Jerry?","Which caused more damage and casualties, Hurricane Andrew or Tropical Storm Jerry?","Which caused more damage and casualties, Hurricane Andrew or Tropical Storm Jerry?
Let's think step by step.",
Together is a Hungarian political party that contrasted the government of the Prime Minister who has held the post since what year?,Together is a Hungarian political party that contrasted the government of the Prime Minister who has held the post since what year?,"Together is a Hungarian political party that contrasted the government of the Prime Minister who has held the post since what year?
Let's think step by step.",
what is mef example,what is mef example,"what is mef example
Let's think step by step.",
Zhang Xiaoming is currently serving as the Director of an administrative agency responsible for promoting cooperation and coordination of what?,Zhang Xiaoming is currently serving as the Director of an administrative agency responsible for promoting cooperation and coordination of what?,"Zhang Xiaoming is currently serving as the Director of an administrative agency responsible for promoting cooperation and coordination of what?
Let's think step by step.",
Who was known for his main role in  American cable television series created for FX by Noah Hawley?,Who was known for his main role in  American cable television series created for FX by Noah Hawley?,"Who was known for his main role in  American cable television series created for FX by Noah Hawley?
Let's think step by step.",
long distance lorry driver pay,long distance lorry driver pay,"long distance lorry driver pay
Let's think step by step.",
"The Nightingale is a historical fiction novel, published in 2015, and written by Kristin Hannah, an award-winning and bestselling American writer, who has won numerous awards, including the Golden Heart, the Maggie, and the National Reader's Choice award, in what year?","The Nightingale is a historical fiction novel, published in 2015, and written by Kristin Hannah, an award-winning and bestselling American writer, who has won numerous awards, including the Golden Heart, the Maggie, and the National Reader's Choice award, in what year?","The Nightingale is a historical fiction novel, published in 2015, and written by Kristin Hannah, an award-winning and bestselling American writer, who has won numerous awards, including the Golden Heart, the Maggie, and the National Reader's Choice award, in what year?
Let's think step by step.",
"Who is the commissioner of the Mountain West Conference, where the New Mexico Lobos play football?","Who is the commissioner of the Mountain West Conference, where the New Mexico Lobos play football?","Who is the commissioner of the Mountain West Conference, where the New Mexico Lobos play football?
Let's think step by step.",
How many significant events involved John Paul II?,How many significant events involved John Paul II?,"How many significant events involved John Paul II?
Let's think step by step.",
"Gliricidia sepium, often simply referred to as Gliricidia, and  ""madreado"" in which republic in Central America?","Gliricidia sepium, often simply referred to as Gliricidia, and  ""madreado"" in which republic in Central America?","Gliricidia sepium, often simply referred to as Gliricidia, and  ""madreado"" in which republic in Central America?
Let's think step by step.",
"he Crewe and Nantwich by-election, 2008 was a parliamentary by-election held on 22 May 2008, for the British House of Commons constituency of Crewe and Nantwich, election was won by which British Conservative Party politician?","he Crewe and Nantwich by-election, 2008 was a parliamentary by-election held on 22 May 2008, for the British House of Commons constituency of Crewe and Nantwich, election was won by which British Conservative Party politician?","he Crewe and Nantwich by-election, 2008 was a parliamentary by-election held on 22 May 2008, for the British House of Commons constituency of Crewe and Nantwich, election was won by which British Conservative Party politician?
Let's think step by step.",
What is name of the higher taxon of Medicago sativa whose vernacular name is אספסת?,What is name of the higher taxon of Medicago sativa whose vernacular name is אספסת?,"What is name of the higher taxon of Medicago sativa whose vernacular name is אספסת?
Let's think step by step.",
new right definition of poverty,new right definition of poverty,"new right definition of poverty
Let's think step by step.",
What two teams played in the final to advance to the npower Championship?,What two teams played in the final to advance to the npower Championship?,"What two teams played in the final to advance to the npower Championship?
Let's think step by step.",
base currency and term currency,base currency and term currency,"base currency and term currency
Let's think step by step.",
A. J. Francis played football for the team that represents what university?,A. J. Francis played football for the team that represents what university?,"A. J. Francis played football for the team that represents what university?
Let's think step by step.",
